fish_id,replicate_number,diet_treatment,timepoint,bm_g,acute_temperature,fh_bpm,t_arr
OPAL_49,1,Omni,14,11.62,17.9,118.93,30.2
OPAL_49,1,Omni,14,11.62,18.8,124.48,30.2
OPAL_49,1,Omni,14,11.62,19.8,134.12,30.2
OPAL_49,1,Omni,14,11.62,21.2,143.56,30.2
OPAL_49,1,Omni,14,11.62,22,153.8,30.2
OPAL_49,1,Omni,14,11.62,22.9,164.54,30.2
OPAL_49,1,Omni,14,11.62,23.8,174.05,30.2
OPAL_49,1,Omni,14,11.62,24.8,181.59,30.2
OPAL_49,1,Omni,14,11.62,25.9,190.13,30.2
OPAL_49,1,Omni,14,11.62,26.8,196.86,30.2
OPAL_49,1,Omni,14,11.62,27.9,202.44,30.2
OPAL_49,1,Omni,14,11.62,28.8,205.16,30.2
OPAL_49,1,Omni,14,11.62,29.6,205.66,30.2
OPAL_49,1,Omni,14,11.62,30.6,187.26,30.2
OPAL_1,1,Omni,0,59.58,13.2,74.73,27.3
OPAL_1,1,Omni,0,59.58,14,78.41,27.3
OPAL_1,1,Omni,0,59.58,15,82.43,27.3
OPAL_1,1,Omni,0,59.58,15.9,89.23,27.3
OPAL_1,1,Omni,0,59.58,17.1,96.76,27.3
OPAL_1,1,Omni,0,59.58,18.1,104.83,27.3
OPAL_1,1,Omni,0,59.58,18.9,109.35,27.3
OPAL_1,1,Omni,0,59.58,19.9,114.57,27.3
OPAL_1,1,Omni,0,59.58,21,120.06,27.3
OPAL_1,1,Omni,0,59.58,21.9,124.58,27.3
OPAL_1,1,Omni,0,59.58,22.8,127.17,27.3
OPAL_1,1,Omni,0,59.58,24.2,132.73,27.3
OPAL_1,1,Omni,0,59.58,25.1,134.77,27.3
OPAL_1,1,Omni,0,59.58,26.3,135.78,27.3
OPAL_1,1,Omni,0,59.58,27.3,131.43,27.3
OPAL_1,1,Omni,0,59.58,28.3,90.83,27.3
OPAL_3,1,Carn,0,33.17,11.5,64.35,29.7
OPAL_3,1,Carn,0,33.17,12,66.74,29.7
OPAL_3,1,Carn,0,33.17,13.1,72.79,29.7
OPAL_3,1,Carn,0,33.17,14.2,80.47,29.7
OPAL_3,1,Carn,0,33.17,15.1,90.85,29.7
OPAL_3,1,Carn,0,33.17,16.3,97.97,29.7
OPAL_3,1,Carn,0,33.17,17.1,107.04,29.7
OPAL_3,1,Carn,0,33.17,18.1,112.93,29.7
OPAL_3,1,Carn,0,33.17,19.2,123.28,29.7
OPAL_3,1,Carn,0,33.17,20,134.34,29.7
OPAL_3,1,Carn,0,33.17,21,140.5,29.7
OPAL_3,1,Carn,0,33.17,21.9,149.77,29.7
OPAL_3,1,Carn,0,33.17,23,163.59,29.7
OPAL_3,1,Carn,0,33.17,24.1,172.5,29.7
OPAL_3,1,Carn,0,33.17,25.2,177.88,29.7
OPAL_3,1,Carn,0,33.17,26,179.89,29.7
OPAL_3,1,Carn,0,33.17,27.3,180.43,29.7
OPAL_3,1,Carn,0,33.17,27.9,180.31,29.7
OPAL_3,1,Carn,0,33.17,30.2,180.31,29.7
OPAL_3,1,Carn,0,33.17,31.7,145.55,29.7
OPAL_51,2,Carn,0,46.87,12.2,66.97,27.7
OPAL_51,2,Carn,0,46.87,13,70.62,27.7
OPAL_51,2,Carn,0,46.87,13.8,77.7,27.7
OPAL_51,2,Carn,0,46.87,14.8,84.97,27.7
OPAL_51,2,Carn,0,46.87,15.7,91.72,27.7
OPAL_51,2,Carn,0,46.87,16.8,99.42,27.7
OPAL_51,2,Carn,0,46.87,17.8,107.29,27.7
OPAL_51,2,Carn,0,46.87,18.7,114.85,27.7
OPAL_51,2,Carn,0,46.87,19.5,120.54,27.7
OPAL_51,2,Carn,0,46.87,21,132.22,27.7
OPAL_51,2,Carn,0,46.87,21.8,139.19,27.7
OPAL_51,2,Carn,0,46.87,22.8,146.47,27.7
OPAL_51,2,Carn,0,46.87,23.8,151.4,27.7
OPAL_51,2,Carn,0,46.87,24.8,155.76,27.7
OPAL_51,2,Carn,0,46.87,25.7,156.36,27.7
OPAL_51,2,Carn,0,46.87,26.8,154.16,27.7
OPAL_51,2,Carn,0,46.87,27.8,135.15,27.7
OPAL_55,2,Omni,0,45.88,12.3,69.74,26.6
OPAL_55,2,Omni,0,45.88,12.6,72.44,26.6
OPAL_55,2,Omni,0,45.88,13.7,80.31,26.6
OPAL_55,2,Omni,0,45.88,14.8,88.63,26.6
OPAL_55,2,Omni,0,45.88,15.8,96.79,26.6
OPAL_55,2,Omni,0,45.88,16.3,99.84,26.6
OPAL_55,2,Omni,0,45.88,17.7,109.74,26.6
OPAL_55,2,Omni,0,45.88,19,119.06,26.6
OPAL_55,2,Omni,0,45.88,20.1,126.69,26.6
OPAL_55,2,Omni,0,45.88,21.1,132.7,26.6
OPAL_55,2,Omni,0,45.88,22,137.48,26.6
OPAL_55,2,Omni,0,45.88,23,141.52,26.6
OPAL_55,2,Omni,0,45.88,24,143.68,26.6
OPAL_55,2,Omni,0,45.88,24.9,143.15,26.6
OPAL_55,2,Omni,0,45.88,25.9,139.27,26.6
OPAL_55,2,Omni,0,45.88,26.8,84.02,26.6
OPAL_87,2,Carn,14,35.25,18.1,115.67,32.6
OPAL_87,2,Carn,14,35.25,18.6,120.2,32.6
OPAL_87,2,Carn,14,35.25,19.8,132,32.6
OPAL_87,2,Carn,14,35.25,21.1,142.62,32.6
OPAL_87,2,Carn,14,35.25,22.1,153.52,32.6
OPAL_87,2,Carn,14,35.25,23,164.48,32.6
OPAL_87,2,Carn,14,35.25,23.9,173.41,32.6
OPAL_87,2,Carn,14,35.25,25.1,181.84,32.6
OPAL_87,2,Carn,14,35.25,26.2,190.46,32.6
OPAL_87,2,Carn,14,35.25,26.9,196.57,32.6
OPAL_87,2,Carn,14,35.25,28,202.06,32.6
OPAL_87,2,Carn,14,35.25,29,206.41,32.6
OPAL_87,2,Carn,14,35.25,30.3,211.19,32.6
OPAL_87,2,Carn,14,35.25,30.6,216.14,32.6
OPAL_87,2,Carn,14,35.25,32.2,216.8,32.6
OPAL_87,2,Carn,14,35.25,33.2,169.29,32.6
OPAL_91,2,Carn,14,11.27,18.3,118.77,31.4
OPAL_91,2,Carn,14,11.27,18.9,125.24,31.4
OPAL_91,2,Carn,14,11.27,20,136.55,31.4
OPAL_91,2,Carn,14,11.27,21.1,146.27,31.4
OPAL_91,2,Carn,14,11.27,22,153.79,31.4
OPAL_91,2,Carn,14,11.27,23,162.5,31.4
OPAL_91,2,Carn,14,11.27,24.5,175.62,31.4
OPAL_91,2,Carn,14,11.27,25,181.61,31.4
OPAL_91,2,Carn,14,11.27,25.7,189.3,31.4
OPAL_91,2,Carn,14,11.27,26.6,198.52,31.4
OPAL_91,2,Carn,14,11.27,27.8,207.2,31.4
OPAL_91,2,Carn,14,11.27,28.8,213.95,31.4
OPAL_91,2,Carn,14,11.27,30,218.16,31.4
OPAL_91,2,Carn,14,11.27,31.1,214.65,31.4
OPAL_91,2,Carn,14,11.27,32,155.85,31.4
OPAL_93,3,Herb,0,41.04,12,70.75,25
OPAL_93,3,Herb,0,41.04,12.8,72.58,25
OPAL_93,3,Herb,0,41.04,13.9,80.2,25
OPAL_93,3,Herb,0,41.04,15,87.7,25
