Taxonomic Status - Note,Family,Accepted Plant Name,Accepted Genus Name,Accepted Species Name,Reported Latin Name,Reported Genus Name,Reported Species Name,Reported Synonym 1,Reported Synonym 2,Reported Synonym 3,# of Herbivores,Herbivore Common Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biome 1,Biome 1,Biome 2,Biome 3,Plant Habit,Annual/Perrenial,"Height (m) (3106, 3107)",Leaf Dry Matter Content (g/g-1) (47),"SLA (mm2/mg-1) (3115, 3116, 3117)",Flower size (cm2) (if applicable) (913),Fruit Producing (Y/N),Fruit Size (if applicable) (919),Seed Size (mg) (if applicable) (26),Nitrogen Content (mg/g) (14),Cultivated (Y/N),Physical defense (if applicable)  (345),Chemical defense (if applicable) (346),Main part of plant consumed,Congener Used (if applicable),Citations (herbivore diet),,,Citation (plant traits),Citation
Accepted,Acanthaceae,Acanthus eminens,Acanthus,eminens,Acanthus eminens,Acanthus,eminens,,,,1,Mountain nyala,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Acanthus sennii,Acanthus,sennii,Acanthus sennii,Acanthus,sennii,,,,3,Mountain nyala,Menelik's bushbuck,Bushbuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Andrographis echioides,Andrographis,echioides,Andrographis echioides,Andrographis,echioides,,,,2,Nilgai,Chital,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Aphelandra schiedeana,Aphelandra,schiedeana,Lagochilium schiedeanum,Lagochilium,schiedeanum,,,,1,Baird's Tapir,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Asystasia,Asystasia,NA,Asystasia sp.,Asystasia,NA,,,,1,Bushbuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Asystasia gangetica,Asystasia,gangetica,Asystasia gangetica,Asystasia,gangetica,,,,2,Mountain nyala,Menelik's bushbuck,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Avicennia germinans,Avicennia,germinans,Avicennia germinans,Avicennia,germinans,,,,1,Red Brocket Deer,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Barleria,Barleria,NA,barleria sp.,barleria,NA,,,,1,Thompson's Gazelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Barleria cristata,Barleria,cristata,Barleria cristata,Barleria,cristata,,,,1,Four-horned antelope or chousingha,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Barleria prionitis,Barleria,prionitis,Barleria prionitis,Barleria,prionitis,,,,1,Chital,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Barleria rigida,Barleria,rigida,Barleria rigida,Barleria,rigida,,,,1,Springbok,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,Scrubland,,,,Forb,,0.3,,,,,,,,N,Spines,,,,Bigalke 1972,,,,http://pza.sanbi.org/barleria-rigida-var-rigida
Accepted,Acanthaceae,Barleria ventricosa,Barleria,ventricosa,Barieria ventricosa,Barieria,ventricosa,,,,1,Menelik's Bushbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Blechum,Blechum,NA,Blechum sp.,Blechum,NA,,,,1,Baird's Tapir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Blepharis innocua,Blepharis,innocua,Blepharis innocua,Blepharis,innocua,,,,1,Steenbok,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Brillantaisia owariensis,Brillantaisia,owariensis,Brillanthasia cf. nitens,Brillanthasia,nitens,,,,1,Bushbuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Crabbea angustifolia,Crabbea,angustifolia,Crabbea angustifolia,Crabbea,angustifolia,,,,1,Steenbok,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Dicliptera verticillata,Dicliptera,verticillata,Dicliptera verticillata,Dicliptera,verticillata,,,,1,Impala,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Duosperma,Duosperma,NA,Duosperma sp.,Duosperma,NA,,,,1,Thompson's Gazelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Duosperma kilimandscharicum,Duosperma,kilimandscharicum,Disperma kilimandscharica,Disperma,kilimandscharica,,,,1,Common eland,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Dyschoriste radicans,Dyschoriste,radicans,Dyschoriste radicans,Dyschoriste,radicans,,,,2,Bushbuck,Menelik's Bushbuck,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Elytraria acaulis,Elytraria,acaulis,Elytrassia acaulis,Elytrassia,acaulis,Elytrassia acaulis,,,2,Nilgai,Chital,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hygrophila,Hygrophila,NA,Kita spp.,Kita,NA,,,,1,Mexican red brocket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accepted,Acanthaceae,Hygrophila auriculata,Hygrophila,auriculata,Astercantha longifolia,Astercantha,longifolia,,,,1,Waterbuck,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
