 ,Common name,Common name 2,Common name 3,Phylum,Class,Order,Family,Genus,domestic/managed/wild,domestic/managed/wild 2,Ruminant/non-ruminant,Type (grazer/browser/mixed feeder),Type notes,Avg species weight (kg),Notes on Weight,Avg species shoulder height (cm),Notes on Shoulder Height,Even or odd toed?,Citation,Native habitat,Biome 1,Biome 2,Biome 3,Biome 4,Biome 5,Continent 1,Continent 2,Continent 3,Country 1,Country 2,Country 3,Country 4,Country 5+,Range Notes,Temperature Regime (ArcGIS),Temperate Regime 2,Temperate Regime 3,Temperate Regime 4,Temperate Regime 5,IUCN Status,IUCN reason,URL,Notes
Hyemoschus aquaticus,Water chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Hyemoschus,Wild,,Ruminant,Browser,,11.5,7-16,35,30-40,Even-toed,Ungulates of the World (website),"River valleys, lowland rainforests",tropical rainforest,grassland,,,,Africa,,,Sierra Leone,Liberia,Côte D'Ivoire,Nigeria,"Cameroon, Equatorial Guinea, Gaon, Congo Republic, Central African Republic, Democratic Republic of the Congo, Uganda, Rwanda",West/Central Africa,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Hyemoschus_aquaticus.html,
Moschiola indica,Indian chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Moschiola,Wild,,Ruminant,Browser,,3,3,29,25-33,Even-toed,"Ungulates of the World (website), Ramesh, T. et al. 2013",Deciduous & evergreen tropical forests,temperate forest,,,,,Asia,,,India,Nepal,,,,,tropical,,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Moschiola_indica.html,
Moschiola meminna,White-spotted chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Moschiola,Wild,,Ruminant,Browser,,3.45,3.1-3.8,Unknown,,Even-toed,Ungulates of the World (website),Variety of Forest types,tropical rainforest,temperate forest,,,,Asia,,,Sri Lanka,,,,,North Sri Lanka,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Moschiola_meminna.html,
Moschiola kathygre,Yellow-striped chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Moschiola,Wild,,Ruminant,Browser,,3.45,3.1-3.8,Unknown,,Even-toed,Ungulates of the World (website),Secondary rainforests,tropical rainforest,temperate forest,,,,Asia,,,Sri Lanka,,,,,Southwest Sri Lanka,tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Moschiola_kathygre.html,
Tragulus javanicus,Javan chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,,2,2,27.5,25-30,Even-toed,Ungulates of the World (website),Tropical rainforest,tropical rainforest,,,,,Asia,,,Indonesia,,,,,Java,tropical,sub tropical,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_javanicus.html,
Tragulus kanchil,Lesser Malayan chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,,1.85,1.3-2.4,27.5,25-30,Even-toed,Ungulates of the World (website),Immature tropical forest,tropical rainforest,,,,,Asia,,,Indonesia,Vietnam,Malaysia,Brunei,"Thailand, Myanmar, Laos","Southeast Asia, incl. Sumatra, Borneo, & Phillipine islands",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_kanchil.html,
Tragulus napu,Greater Malayan chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,,4,3.5-4.5,32.5,30-35,Even-toed,Ungulates of the World (website),Mature & Secondary tropical forests,tropical rainforest,,,,,Asia,,,Indonesia,Vietnam,Malaysia,Brunei,"Thailand, Myanmar, Laos","Southeast Asia, incl. Sumatra, Borneo, & Phillipine islands",tropical,sub tropical,,,,Least Concern,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_napu.html,
Tragulus nigricans,Balabac chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,unverified,0.75,0.7-0.8,18,18,Even-toed,"Ungulates of the World (website), Nowak 1991",Primary & secondary tropical forests,tropical rainforest,,,,,Australia/Oceania,,,Phillippines,,,,,"Balabac island, Ramos island, Bugsuc island",tropical,sub tropical,,,,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_nigricansFull.html,
Tragulus versicolor,Silver-backed chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,unverified,1.7,1.7,Unknown,,Even-toed,Ungulates of the World (website),Dry coastal forest,temperate forest,,,,,Asia,,,Vietnam,,,,,Southeast Vietnam,sub tropical,,,,,Data Deficient,,http://www.ultimateungulate.com/Artiodactyla/Tragulus_versicolor.html,
Tragulus williamsoni,Northern chevrotain,,,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,Wild,,Ruminant,Browser,unverified,Unknown,,Unknown,,Even-toed,Ungulates of the World (website),Monsoon tropical forest & evergreen broadleaf forest,tropical rainforest,temperate forest,,,,Asia,,,Thailand,China,,,,"North Thailand, Southern China",sub tropical,,,,,Data Deficient,,,
Moschus anhuiensis,Anhui musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,Unknown,,Unknown,,Even-toed,"Frädrich, H. 1984",Primary & secondary forests,temperate forest,,,,,Asia,,,China,,,,,"China (Dabie Mountain, Anhui Province)",warm temperate dry,,,,,Endangered,,https://archive.org/details/encyclopediaofma00mals_0/page/518/mode/2up,
Moschus berezovskii,Forest musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,Unknown,,Unknown,,Even-toed,"Gang et al. 2015, Frädrich, H. 1984",Primary & secondary forests,temperate forest,,,,,Asia,,,China,Vietnam,,,,China (southwest region),tropical,sub tropical,,,,Endangered,,,
Moschus chrysogaster,Himalayan musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,14.5,11-18,52,51-53,Even-toed,Ungulates of the World (website),Alpine forest & scrubland,temperate forest,shrubland,,,,Asia,,,China,Nepal,Pakistan,India,Myanmar,"Central Asia, incl. China, Nepal, Tibet, India, & Pakistan",tropical,sub tropical,warm temperate dry,cool temperate,polar,Endangered,,http://www.ultimateungulate.com/Artiodactyla/Moschus_chrysogaster.html,
Moschus cupreus,Kashmir musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,Unknown,,60,60 (unverified),Even-toed,"Ungulates of the World (website), Timmins, R.J. & Duckworth, J.W., 2015, Frädrich, H. 1984",Alpine forest & scrubland,temperate forest,shrubland,,,,Asia,,,Afghanistan,India,Pakistan,Nepal,,"Central Asia, incl. Afganistan, India, Pakistan, & Nepal",tropical,sub tropical,warm temperate dry,,,Endangered,,,
Moschus fuscus,Black musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,12.5,10-15 (unverified),85,70-100 (unverified),Even-toed,"Nowak, R. 1981",Alpine forest & scrubland,temperate forest,shrubland,,,,Asia,,,Bhutan,China,India,Myanmar,Nepal,"Central Asia, incl. Tibet, China, & Burma",tropical,sub tropical,warm temperate dry,,,Endangered,,,
Moschus leucogaster,White-bellied musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Browser,,Unknown,,Unknown,,Even-toed,"Frädrich, H. 1984",High alpine forest,boreal forest,,,,,Asia,,,Nepal,Bhutan,India,Pakistan,China,"Himalayas, incl. Nepal, Bhutan, India, Pakistan & China",tropical,sub tropical,warm temperate dry,boreal,polar,Endangered,,,
Moschus moschiferus,Siberian musk deer,,,Chordata,Mammalia,Artiodactyla,Moschidae,Moschus,Wild,,Ruminant,Mixed feeder,,14.5,11-18,53.5,52-55,Even-toed,Ungulates of the World (website),Mountainous taiga,boreal forest,,,,,Asia,,,China,Korea,Russia,Mongolia,,"Northeast Asia, incl. China, Korea, & Russia",sub tropical,warm temperate dry,cool temperate,boreal,polar,Vulnerable,,http://www.ultimateungulate.com/Artiodactyla/Moschus_moschiferus.html,
Alces alces,Eurasian elk,,,Chordata,Mammalia,Artiodactyla,Cervidae,Alces,Wild,,Ruminant,Browser,,497.5,400-595,190,170-210,Even-toed,"Franzmann, A. W. 1981",Deciduous & evergreen boreal forests,boreal forest,,,,,Asia,Europe,North America,Canada,United States,Norway,Sweden,"Finland, Poland, Kazakhstan, Russia","Northern North America, orth Europe & north Asia",warm temperate dry,cool temperate,boreal,polar,,Least Concern,,https://www.sciencedirect.com/science/article/abs/pii/S1616504705000819,
