lake,trap_num,direction,trap_id,date,time_set,time_collected,lat,long,fish,elevation,tot_mosq,veg
H1A,2or3,E,E2,4-Aug-19,15:52,11:35,37º 15.543',118º 41.082',0,high,11,"rocks, grass"
H1A,4,N,N4,4-Aug-19,16:10,11:20,37º 15.582',118º 41.011',0,high,10,"rocks, grass, small flowers"
H1A,N/A,W,W,4-Aug-19,16:29,11:07,37º 15.656',118º 40.965',0,high,13,"rocks, gass, small flowers"
H1A,2,E,2E,14-Aug-19,16:46,13:40,37.25977º,118.68275º,0,high,7,"grass, salix, VACE"
H1A,4,N,N4,14-Aug-19,16:36,12:56,,,0,high,35,"grass, gravel"
H1A,1,S,S1,14-Aug-19,16:24,13:56,37.25872º,118.68517º,0,high,28,"grass, salix, calmia"
H1P,2,E,E2,3-Aug-19,16:19,11:39,37º 15.922',118º 41.228',1,high,3,"grass, gravel, rocks"
H1P,1,N,N1,3-Aug-19,16:33,11:34,37º 16.029',118º 41.214',1,high,23,"grass, salix, moss, stagnant pools"
H1P,3,E,E3,14-Aug-19,16:25,11:48,37º 15.903',118º 41.242',1,high,3,"rock, grass, small flowers"
H1P,1,N,N1,14-Aug-19,16:40,11:56,37º 16.032',118º 41.207',1,high,24,"mud, grass, small lowers"
H1P,5,E,E5,20-Aug-19,14:21,9:47,37.26521º,118.68731º,1,high,4,"grass, rocks, salix, PHBR"
H1P,6,N,N6,20-Aug-19,14:30,9:56,37.26717º,118.68678º,1,high,15,"grass, mud, salix"
H1P,4,W,W4,20-Aug-19,14:44,10:04,37.26621º,118.68869º,1,high,24,"VACE, large queen bee"
H2A,2,N,N2,2-Aug-19,16:50,10:20,37º 15.041',118º 43.238',0,mid,83,"grass, vaccinum, sand, flowers"
H2A,1,S,S1,2-Aug-19,17:06,10:40,37º 14.918',118º 43.309',0,mid,37,"grass, pussypaws, buckwheat, phlox, rocks, sand"
H2A,2,W,W2,2-Aug-19,16:39,10:10,37º 14.968',118º 43.283',0,mid,112,"grass, PHBR, vaccinium"
H2A,3,E,E3,18-Aug-19,15:42,12:28,37.24894º,118.68699º,0,mid,9,"grass, salix, vaccinium, boulders"
H2A,2,S,S2,18-Aug-19,15:34,12:22,37.24858º,118.68814º,0,mid,4,"grass, pebbles, mud"
